Temizlenmis_Yorum	Duygu_Durumu	Anahtar_Kelimeler
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
Harika bir deneyimdi Personel çok ilgiliydi Herkese tavsiye ederim	Pozitif	harika, deneyimdi, personel
Berbat bir yer Yemekler soğuktu odalar pislik içinde	Negatif	berbat, yemekler, soğuktu
Fena değildi idare eder Daha iyi olabilirdi ama fiyatperformans normal	Pozitif	fena, değildi, idare
